trap_no,lat,long,
D1,50.168089,-5.101986,
D2,50.172144,-5.121983,
D3,50.172952,-5.123913,
D4,50.172153,-5.119304,
D5,50.17101,-5.12081,
D6,50.171159,-5.121513, 
D8,50.17171,-5.11824,
D9,50.17011,-5.1212,
D10,50.170239,-5.122571,
D11,50.169545,-5.125654,
D12,50.17078,-5.12042,
